Date : 2024-05-29 20:00:56
Directory : /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal
Total : 62 files,  12069 codes, 0 comments, 1871 blanks, all 13940 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/image/protos/gen/image.pb.go      | Go               |        202 |          0 |         28 |        230 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/image/protos/gen/image_grpc.pb.go | Go               |         94 |          0 |         16 |        110 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/image/protos/proto/image.proto    | Protocol Buffers |         15 |          0 |          7 |         22 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/image/repo/image.go               | Go               |        175 |          0 |         38 |        213 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/image/repo/repo_test.go           | Go               |        179 |          0 |         47 |        226 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/image/usecase/image.go            | Go               |         69 |          0 |         20 |         89 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/image/usecase/image_test.go       | Go               |        174 |          0 |         28 |        202 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/logs/log.go                       | Go               |         21 |          0 |          6 |         27 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/pkg/middlewares.go                | Go               |         96 |          0 |         14 |        110 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/pkg/pkg_test.go                   | Go               |         73 |          0 |         15 |         88 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/pkg/requests.go                   | Go               |          1 |          0 |          1 |          2 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/pkg/responce_test.go              | Go               |         33 |          0 |         14 |         47 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/pkg/responces.go                  | Go               |         60 |          0 |         14 |         74 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/pkg/security.go                   | Go               |         40 |          0 |          8 |         48 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/types/errors.go                   | Go               |         10 |          0 |          5 |         15 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/types/types.go                    | Go               |          8 |          0 |          4 |         12 |
| /home/longwave/techpark/workisdone/2024_1_Los_ping-inos/internal/types/types_test.go               | Go               |         25 |          0 |          8 |         33 |
| Total                                                                                              |                  |     12,069 |          0 |      1,871 |     13,940 |
+----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
